Dark Matter mass = 11.5139 GeV
Coupling = 1.83402e-12T in GeV, sigmav in GeV^-2
Channel: W
#############################
T,sigmav
2.34822e-13,-nan
2.45125e-13,-nan
2.55879e-13,-nan
2.67106e-13,-nan
2.78825e-13,-nan
2.91058e-13,-nan
3.03827e-13,-nan
3.17157e-13,-nan
3.31072e-13,-nan
3.45597e-13,-nan
3.6076e-13,-nan
3.76588e-13,-nan
3.9311e-13,-nan
4.10357e-13,-nan
4.28361e-13,-nan
4.47155e-13,-nan
4.66773e-13,-nan
4.87252e-13,-nan
5.0863e-13,-nan
5.30945e-13,-nan
5.5424e-13,-nan
5.78556e-13,-nan
6.03939e-13,-nan
6.30436e-13,-nan
6.58096e-13,-nan
6.86969e-13,-nan
7.17109e-13,-nan
7.48571e-13,-nan
7.81413e-13,-nan
8.15697e-13,-nan
8.51484e-13,-nan
8.88842e-13,-nan
9.27839e-13,-nan
9.68546e-13,-nan
1.01104e-12,-nan
1.0554e-12,-nan
1.1017e-12,-nan
1.15004e-12,-nan
1.20049e-12,-nan
1.25316e-12,-nan
1.30814e-12,-nan
1.36554e-12,-nan
1.42545e-12,-nan
1.48799e-12,-nan
1.55327e-12,-nan
1.62142e-12,-nan
1.69256e-12,-nan
1.76682e-12,-nan
1.84433e-12,-nan
1.92525e-12,-nan
2.00972e-12,-nan
2.09789e-12,-nan
2.18993e-12,-nan
2.28601e-12,-nan
2.38631e-12,-nan
2.491e-12,-nan
2.60029e-12,-nan
2.71438e-12,-nan
2.83347e-12,-nan
2.95778e-12,-nan
3.08755e-12,-nan
3.22301e-12,-nan
3.36442e-12,-nan
3.51203e-12,-nan
3.66611e-12,-nan
3.82696e-12,-nan
3.99486e-12,-nan
4.17013e-12,-nan
4.35309e-12,-nan
4.54407e-12,-nan
4.74344e-12,-nan
4.95155e-12,-nan
5.16879e-12,-nan
5.39556e-12,-nan
5.63229e-12,-nan
5.87939e-12,-nan
6.13734e-12,-nan
6.40661e-12,-nan
6.68769e-12,-nan
6.9811e-12,-nan
7.28739e-12,-nan
7.60712e-12,-nan
7.94087e-12,-nan
8.28926e-12,-nan
8.65294e-12,-nan
9.03258e-12,-nan
9.42887e-12,-nan
9.84255e-12,-nan
1.02744e-11,-nan
1.07251e-11,-nan
1.11957e-11,-nan
1.16869e-11,-nan
1.21996e-11,-nan
1.27349e-11,-nan
1.32936e-11,-nan
1.38768e-11,-nan
1.44857e-11,-nan
1.51212e-11,-nan
1.57846e-11,-nan
1.64772e-11,-nan
1.72001e-11,-nan
1.79547e-11,-nan
1.87424e-11,-nan
1.95647e-11,-nan
2.04231e-11,-nan
2.13191e-11,-nan
2.22545e-11,-nan
2.32309e-11,-nan
2.42501e-11,-nan
2.5314e-11,-nan
2.64247e-11,-nan
2.7584e-11,-nan
2.87942e-11,-nan
3.00575e-11,-nan
3.13762e-11,-nan
3.27528e-11,-nan
3.41898e-11,-nan
3.56898e-11,-nan
3.72557e-11,-nan
3.88902e-11,-nan
4.05965e-11,-nan
4.23776e-11,-nan
4.42369e-11,-nan
4.61777e-11,-nan
4.82037e-11,-nan
5.03185e-11,-nan
5.25262e-11,-nan
5.48307e-11,-nan
5.72363e-11,-nan
5.97475e-11,-nan
6.23688e-11,-nan
6.51052e-11,-nan
6.79616e-11,-nan
7.09433e-11,-nan
7.40558e-11,-nan
7.73049e-11,-nan
8.06965e-11,-nan
8.4237e-11,-nan
8.79328e-11,-nan
9.17907e-11,-nan
9.58179e-11,-nan
1.00022e-10,-nan
1.0441e-10,-nan
1.08991e-10,-nan
1.13773e-10,-nan
1.18764e-10,-nan
1.23975e-10,-nan
1.29414e-10,-nan
1.35092e-10,-nan
1.41019e-10,-nan
1.47206e-10,-nan
1.53665e-10,-nan
1.60406e-10,-nan
1.67444e-10,-nan
1.7479e-10,-nan
1.82459e-10,-nan
1.90464e-10,-nan
1.9882e-10,-nan
2.07543e-10,-nan
2.16649e-10,-nan
2.26154e-10,-nan
2.36076e-10,-nan
2.46434e-10,-nan
2.57246e-10,-nan
2.68532e-10,-nan
2.80314e-10,-nan
2.92612e-10,-nan
3.0545e-10,-nan
3.18851e-10,-nan
3.3284e-10,-nan
3.47443e-10,-nan
3.62687e-10,-nan
3.78599e-10,-nan
3.9521e-10,-nan
4.12549e-10,-nan
4.30649e-10,-nan
4.49543e-10,-nan
4.69266e-10,-nan
4.89855e-10,-nan
5.11346e-10,-nan
5.33781e-10,-nan
5.572e-10,-nan
5.81646e-10,-nan
6.07165e-10,-nan
6.33803e-10,-nan
6.61611e-10,-nan
6.90638e-10,-nan
7.20939e-10,-nan
7.52569e-10,-nan
7.85587e-10,-nan
8.20053e-10,-nan
8.56032e-10,-nan
8.93589e-10,-nan
9.32794e-10,-nan
9.73719e-10,-nan
1.01644e-09,-nan
1.06103e-09,-nan
1.10759e-09,-nan
1.15618e-09,-nan
1.20691e-09,-nan
1.25986e-09,-nan
1.31513e-09,-nan
1.37283e-09,-nan
1.43306e-09,-nan
1.49594e-09,-nan
1.56157e-09,-nan
1.63008e-09,-nan
1.7016e-09,-nan
1.77625e-09,-nan
1.85418e-09,-nan
1.93553e-09,-nan
2.02045e-09,-nan
2.10909e-09,-nan
2.20163e-09,-nan
2.29822e-09,-nan
2.39905e-09,-nan
2.50431e-09,-nan
2.61418e-09,-nan
2.72887e-09,-nan
2.8486e-09,-nan
2.97358e-09,-nan
3.10404e-09,-nan
3.24022e-09,-nan
3.38238e-09,-nan
3.53078e-09,-nan
3.68569e-09,-nan
3.84739e-09,-nan
4.01619e-09,-nan
4.1924e-09,-nan
4.37633e-09,-nan
4.56834e-09,-nan
4.76877e-09,-nan
4.97799e-09,-nan
5.19639e-09,-nan
5.42438e-09,-nan
5.66237e-09,-nan
5.91079e-09,-nan
6.17012e-09,-nan
6.44083e-09,-nan
6.72341e-09,-nan
7.01839e-09,-nan
7.32631e-09,-nan
7.64774e-09,-nan
7.98328e-09,-nan
8.33353e-09,-nan
8.69915e-09,-nan
9.08082e-09,-nan
9.47922e-09,-nan
9.89511e-09,-nan
1.03292e-08,-nan
1.07824e-08,-nan
1.12555e-08,-nan
1.17493e-08,-nan
1.22648e-08,-nan
1.28029e-08,-nan
1.33646e-08,-nan
1.3951e-08,-nan
1.4563e-08,-nan
1.5202e-08,-nan
1.58689e-08,-nan
1.65652e-08,-nan
1.72919e-08,-nan
1.80506e-08,-nan
1.88425e-08,-nan
1.96692e-08,-nan
2.05322e-08,-nan
2.1433e-08,-nan
2.23733e-08,-nan
2.33549e-08,-nan
2.43796e-08,-nan
2.54492e-08,-nan
2.65658e-08,-nan
2.77313e-08,-nan
2.8948e-08,-nan
3.0218e-08,-nan
3.15438e-08,-nan
3.29278e-08,-nan
3.43724e-08,-nan
3.58805e-08,-nan
3.74547e-08,-nan
3.90979e-08,-nan
4.08133e-08,-nan
4.26039e-08,-nan
4.44731e-08,-nan
4.64243e-08,-nan
4.84611e-08,-nan
5.05873e-08,-nan
5.28067e-08,-nan
5.51235e-08,-nan
5.7542e-08,-nan
6.00666e-08,-nan
6.27019e-08,-nan
6.54529e-08,-nan
6.83245e-08,-nan
7.13222e-08,-nan
7.44513e-08,-nan
7.77178e-08,-nan
8.11275e-08,-nan
8.46869e-08,-nan
8.84024e-08,-nan
9.22809e-08,-nan
9.63296e-08,-nan
1.00556e-07,-nan
1.04968e-07,-nan
1.09573e-07,-nan
1.1438e-07,-nan
1.19399e-07,-nan
1.24637e-07,-nan
1.30105e-07,-nan
1.35814e-07,-nan
1.41772e-07,-nan
1.47992e-07,-nan
1.54485e-07,-nan
1.61263e-07,-nan
1.68338e-07,-nan
1.75724e-07,-nan
1.83433e-07,-nan
1.91481e-07,-nan
1.99882e-07,-nan
2.08652e-07,-nan
2.17806e-07,-nan
2.27362e-07,-nan
2.37337e-07,-nan
2.4775e-07,-nan
2.5862e-07,-nan
2.69966e-07,-nan
2.81811e-07,-nan
2.94175e-07,-nan
3.07081e-07,-nan
3.20554e-07,-nan
3.34618e-07,-nan
3.49299e-07,-nan
3.64624e-07,-nan
3.80621e-07,-nan
3.9732e-07,-nan
4.14752e-07,-nan
4.32949e-07,-nan
4.51944e-07,-nan
4.71772e-07,-nan
4.92471e-07,-nan
5.14077e-07,-nan
5.36632e-07,-nan
5.60175e-07,-nan
5.84752e-07,-nan
6.10408e-07,-nan
6.37188e-07,-nan
6.65144e-07,-nan
6.94326e-07,-nan
7.24789e-07,-nan
7.56588e-07,-nan
7.89782e-07,-nan
8.24433e-07,-nan
8.60604e-07,-nan
8.98361e-07,-nan
9.37776e-07,-nan
9.78919e-07,-nan
1.02187e-06,-nan
1.0667e-06,-nan
1.1135e-06,-nan
1.16235e-06,-nan
1.21335e-06,-nan
1.26659e-06,-nan
1.32215e-06,-nan
1.38016e-06,-nan
1.44072e-06,-nan
1.50392e-06,-nan
1.56991e-06,-nan
1.63878e-06,-nan
1.71068e-06,-nan
1.78574e-06,-nan
1.86408e-06,-nan
1.94587e-06,-nan
2.03124e-06,-nan
2.12036e-06,-nan
2.21339e-06,-nan
2.3105e-06,-nan
2.41187e-06,-nan
2.51768e-06,-nan
2.62814e-06,-nan
2.74345e-06,-nan
2.86381e-06,-nan
2.98946e-06,-nan
3.12062e-06,-nan
3.25753e-06,-nan
3.40045e-06,-nan
3.54964e-06,-nan
3.70537e-06,-nan
3.86794e-06,-nan
4.03764e-06,-nan
4.21479e-06,-nan
4.39971e-06,-nan
4.59274e-06,-nan
4.79424e-06,-nan
5.00458e-06,-nan
5.22415e-06,-nan
5.45335e-06,-nan
5.69261e-06,-nan
5.94236e-06,-nan
6.20307e-06,-nan
6.47523e-06,-nan
6.75932e-06,-nan
7.05587e-06,-nan
7.36544e-06,-nan
7.68859e-06,-nan
8.02591e-06,-nan
8.37804e-06,-nan
8.74561e-06,-nan
9.12931e-06,-nan
9.52985e-06,-nan
9.94796e-06,-nan
1.03844e-05,-nan
1.084e-05,-nan
1.13156e-05,-nan
1.18121e-05,-nan
1.23303e-05,-nan
1.28713e-05,-nan
1.3436e-05,-nan
1.40255e-05,-nan
1.46408e-05,-nan
1.52832e-05,-nan
1.59537e-05,-nan
1.66536e-05,-nan
1.73843e-05,-nan
1.8147e-05,-nan
1.89432e-05,-nan
1.97743e-05,-nan
2.06418e-05,-nan
2.15475e-05,-nan
2.24928e-05,-nan
2.34797e-05,-nan
2.45098e-05,-nan
2.55851e-05,-nan
2.67077e-05,-nan
2.78794e-05,-nan
2.91026e-05,-nan
3.03794e-05,-nan
3.17123e-05,-nan
3.31036e-05,-nan
3.4556e-05,-nan
3.60721e-05,-nan
3.76547e-05,-nan
3.93067e-05,-nan
4.10313e-05,-nan
4.28315e-05,-nan
4.47106e-05,-nan
4.66722e-05,-nan
4.87199e-05,-nan
5.08574e-05,-nan
5.30887e-05,-nan
5.54179e-05,-nan
5.78493e-05,-nan
6.03874e-05,-nan
6.30368e-05,-nan
6.58024e-05,-nan
6.86894e-05,-nan
7.17031e-05,-nan
7.48489e-05,-nan
7.81328e-05,-nan
8.15608e-05,-nan
8.51392e-05,-nan
8.88745e-05,-nan
9.27738e-05,-nan
9.68441e-05,-nan
0.000101093,-nan
0.000105528,-nan
0.000110158,-nan
0.000114991,-nan
0.000120036,-nan
0.000125303,-nan
0.0001308,-nan
0.000136539,-nan
0.000142529,-nan
0.000148783,-nan
0.00015531,-nan
0.000162124,-nan
0.000169237,-nan
0.000176662,-nan
0.000184413,-nan
0.000192504,-nan
0.00020095,-nan
0.000209766,-nan
0.000218969,-nan
0.000228576,-nan
0.000238605,-nan
0.000249073,-nan
0.000260001,-nan
0.000271408,-nan
0.000283316,-nan
0.000295746,-nan
0.000308721,-nan
0.000322266,-nan
0.000336405,-nan
0.000351164,-nan
0.000366571,-nan
0.000382654,-nan
0.000399442,-nan
0.000416967,-nan
0.000435261,-nan
0.000454358,-nan
0.000474292,-nan
0.000495101,-nan
0.000516823,-nan
0.000539498,-nan
0.000563167,-nan
0.000587875,-nan
0.000613668,-nan
0.000640591,-nan
0.000668696,-nan
0.000698035,-nan
0.00072866,-nan
0.000760629,-nan
0.000794,-nan
0.000828836,-nan
0.0008652,-nan
0.000903159,-nan
0.000942784,-nan
0.000984147,-nan
0.00102733,-nan
0.0010724,-nan
0.00111945,-nan
0.00116856,-nan
0.00121983,-nan
0.00127335,-nan
0.00132922,-nan
0.00138753,-nan
0.00144841,-nan
0.00151196,-nan
0.00157829,-nan
0.00164754,-nan
0.00171982,-nan
0.00179527,-nan
0.00187404,-nan
0.00195626,-nan
0.00204209,-nan
0.00213168,-nan
0.00222521,-nan
0.00232283,-nan
0.00242475,-nan
0.00253113,-nan
0.00264218,-nan
0.0027581,-nan
0.00287911,-nan
0.00300542,-nan
0.00313728,-nan
0.00327493,-nan
0.00341861,-nan
0.0035686,-nan
0.00372516,-nan
0.0038886,-nan
0.00405921,-nan
0.0042373,-nan
